"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 10:42:57 GMT 2022","Thu Oct 27 10:43:06 GMT 2022","9205","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 10:48:06 GMT 2022","Thu Oct 27 10:48:12 GMT 2022","6559","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"passed","Thu Oct 27 10:43:11 GMT 2022","Thu Oct 27 10:43:16 GMT 2022","4855","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 10:43:58 GMT 2022","Thu Oct 27 10:44:17 GMT 2022","19332","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 10:47:30 GMT 2022","Thu Oct 27 10:47:36 GMT 2022","5709","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Thu Oct 27 10:47:41 GMT 2022","Thu Oct 27 10:47:46 GMT 2022","4829","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 10:46:06 GMT 2022","Thu Oct 27 10:46:10 GMT 2022","3931","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 10:47:10 GMT 2022","Thu Oct 27 10:47:18 GMT 2022","7933","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 10:46:24 GMT 2022","Thu Oct 27 10:46:32 GMT 2022","8089","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Thu Oct 27 10:43:37 GMT 2022","Thu Oct 27 10:43:58 GMT 2022","20744","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
