"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 10:09:11 GMT 2022","Thu Oct 27 10:09:15 GMT 2022","4469","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Thu Oct 27 10:08:35 GMT 2022","Thu Oct 27 10:08:43 GMT 2022","8536","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"passed","Thu Oct 27 10:08:28 GMT 2022","Thu Oct 27 10:08:33 GMT 2022","4716","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 10:08:22 GMT 2022","Thu Oct 27 10:08:28 GMT 2022","5925","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"passed","Thu Oct 27 10:08:16 GMT 2022","Thu Oct 27 10:08:22 GMT 2022","5883","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Thu Oct 27 10:08:08 GMT 2022","Thu Oct 27 10:08:16 GMT 2022","7855","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"skipped","Thu Oct 27 10:08:33 GMT 2022","Thu Oct 27 10:08:33 GMT 2022","0","","Sign up page testing","","Sign up page testing","ID - 14 Sign up with valid credentials","ID - 14 Sign up with valid credentials",""
"passed","Thu Oct 27 10:06:24 GMT 2022","Thu Oct 27 10:06:27 GMT 2022","3601","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 10:08:57 GMT 2022","Thu Oct 27 10:09:04 GMT 2022","7194","","Support center page testing","","Support center page testing","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page",""
"passed","Thu Oct 27 10:07:45 GMT 2022","Thu Oct 27 10:08:07 GMT 2022","21101","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 10:08:43 GMT 2022","Thu Oct 27 10:08:49 GMT 2022","6028","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Thu Oct 27 10:06:29 GMT 2022","Thu Oct 27 10:06:35 GMT 2022","5990","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 10:09:04 GMT 2022","Thu Oct 27 10:09:11 GMT 2022","6256","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Thu Oct 27 10:06:57 GMT 2022","Thu Oct 27 10:07:02 GMT 2022","5660","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Thu Oct 27 10:07:26 GMT 2022","Thu Oct 27 10:07:45 GMT 2022","19743","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 10:08:49 GMT 2022","Thu Oct 27 10:08:55 GMT 2022","6290","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"passed","Thu Oct 27 10:07:04 GMT 2022","Thu Oct 27 10:07:26 GMT 2022","21511","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 10:06:18 GMT 2022","Thu Oct 27 10:06:24 GMT 2022","5730","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 10:06:44 GMT 2022","Thu Oct 27 10:06:57 GMT 2022","12372","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Thu Oct 27 10:06:37 GMT 2022","Thu Oct 27 10:06:44 GMT 2022","7747","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
