"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 28 17:03:46 GMT 2022","Fri Oct 28 17:03:50 GMT 2022","3387","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Fri Oct 28 17:03:38 GMT 2022","Fri Oct 28 17:03:42 GMT 2022","3743","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Fri Oct 28 17:03:42 GMT 2022","Fri Oct 28 17:03:44 GMT 2022","2087","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Fri Oct 28 17:00:16 GMT 2022","Fri Oct 28 17:00:19 GMT 2022","2897","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Fri Oct 28 16:58:48 GMT 2022","Fri Oct 28 16:59:21 GMT 2022","32938","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Fri Oct 28 17:03:53 GMT 2022","Fri Oct 28 17:03:57 GMT 2022","4270","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Fri Oct 28 17:02:32 GMT 2022","Fri Oct 28 17:02:41 GMT 2022","9198","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Fri Oct 28 17:04:08 GMT 2022","Fri Oct 28 17:04:16 GMT 2022","8074","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Fri Oct 28 17:04:38 GMT 2022","Fri Oct 28 17:04:42 GMT 2022","4217","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Fri Oct 28 17:01:04 GMT 2022","Fri Oct 28 17:01:11 GMT 2022","6733","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
