"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 12:53:33 GMT 2022","Thu Oct 27 12:53:42 GMT 2022","8433","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Thu Oct 27 12:52:39 GMT 2022","Thu Oct 27 12:52:46 GMT 2022","7270","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 12:55:55 GMT 2022","Thu Oct 27 12:56:10 GMT 2022","14337","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 12:52:05 GMT 2022","Thu Oct 27 12:52:18 GMT 2022","13499","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Thu Oct 27 12:56:41 GMT 2022","Thu Oct 27 12:56:51 GMT 2022","10066","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"skipped","Thu Oct 27 12:56:58 GMT 2022","Thu Oct 27 12:56:58 GMT 2022","0","","Sign up page testing","","Sign up page testing","ID - 14 Sign up with valid credentials","ID - 14 Sign up with valid credentials",""
"passed","Thu Oct 27 12:47:30 GMT 2022","Thu Oct 27 12:47:45 GMT 2022","15106","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 12:54:49 GMT 2022","Thu Oct 27 12:55:03 GMT 2022","13971","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Thu Oct 27 12:56:30 GMT 2022","Thu Oct 27 12:56:41 GMT 2022","10786","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Thu Oct 27 12:49:46 GMT 2022","Thu Oct 27 12:49:57 GMT 2022","10765","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Thu Oct 27 12:50:31 GMT 2022","Thu Oct 27 12:50:40 GMT 2022","8456","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 12:46:34 GMT 2022","Thu Oct 27 12:46:55 GMT 2022","20474","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Thu Oct 27 12:57:33 GMT 2022","Thu Oct 27 12:57:45 GMT 2022","12008","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"passed","Thu Oct 27 12:51:39 GMT 2022","Thu Oct 27 12:51:52 GMT 2022","12637","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 12:49:07 GMT 2022","Thu Oct 27 12:49:19 GMT 2022","11664","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Thu Oct 27 12:47:10 GMT 2022","Thu Oct 27 12:47:30 GMT 2022","19700","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 12:56:16 GMT 2022","Thu Oct 27 12:56:30 GMT 2022","13919","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Thu Oct 27 12:56:51 GMT 2022","Thu Oct 27 12:56:58 GMT 2022","7546","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 12:54:38 GMT 2022","Thu Oct 27 12:54:49 GMT 2022","11073","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Thu Oct 27 12:52:29 GMT 2022","Thu Oct 27 12:52:39 GMT 2022","9777","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"passed","Thu Oct 27 12:58:11 GMT 2022","Thu Oct 27 12:58:17 GMT 2022","6185","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Thu Oct 27 12:48:00 GMT 2022","Thu Oct 27 12:48:15 GMT 2022","15447","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Thu Oct 27 12:55:03 GMT 2022","Thu Oct 27 12:55:14 GMT 2022","11349","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Thu Oct 27 12:55:21 GMT 2022","Thu Oct 27 12:55:41 GMT 2022","20062","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 12:45:46 GMT 2022","Thu Oct 27 12:45:57 GMT 2022","10913","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 12:46:55 GMT 2022","Thu Oct 27 12:47:08 GMT 2022","12698","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Thu Oct 27 12:57:22 GMT 2022","Thu Oct 27 12:57:33 GMT 2022","11716","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Thu Oct 27 12:50:15 GMT 2022","Thu Oct 27 12:50:23 GMT 2022","8300","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 12:51:23 GMT 2022","Thu Oct 27 12:51:39 GMT 2022","16004","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 12:46:06 GMT 2022","Thu Oct 27 12:46:18 GMT 2022","11972","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 12:47:45 GMT 2022","Thu Oct 27 12:47:57 GMT 2022","11897","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 12:50:23 GMT 2022","Thu Oct 27 12:50:29 GMT 2022","5721","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 12:48:38 GMT 2022","Thu Oct 27 12:48:48 GMT 2022","9634","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 12:48:15 GMT 2022","Thu Oct 27 12:48:27 GMT 2022","12102","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Thu Oct 27 12:55:41 GMT 2022","Thu Oct 27 12:55:55 GMT 2022","14353","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 12:46:21 GMT 2022","Thu Oct 27 12:46:34 GMT 2022","13642","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Thu Oct 27 12:52:48 GMT 2022","Thu Oct 27 12:53:01 GMT 2022","12941","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"passed","Thu Oct 27 12:54:10 GMT 2022","Thu Oct 27 12:54:16 GMT 2022","5573","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 12:51:52 GMT 2022","Thu Oct 27 12:52:02 GMT 2022","10229","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 12:48:51 GMT 2022","Thu Oct 27 12:49:07 GMT 2022","16518","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"passed","Thu Oct 27 12:57:52 GMT 2022","Thu Oct 27 12:58:03 GMT 2022","11405","","Support center page testing","","Support center page testing","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page",""
"passed","Thu Oct 27 12:50:42 GMT 2022","Thu Oct 27 12:50:53 GMT 2022","11127","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Thu Oct 27 12:58:03 GMT 2022","Thu Oct 27 12:58:11 GMT 2022","8042","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Thu Oct 27 12:53:59 GMT 2022","Thu Oct 27 12:54:10 GMT 2022","10666","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
