"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 09:45:40 GMT 2022","Thu Oct 27 09:45:45 GMT 2022","4716","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Thu Oct 27 09:45:21 GMT 2022","Thu Oct 27 09:45:26 GMT 2022","5570","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Thu Oct 27 09:44:27 GMT 2022","Thu Oct 27 09:44:46 GMT 2022","19015","","Sign in testing","","Sign in testing","ID - 17 Sign in with valid email that doesn't contain @","ID - 17 Sign in with valid email that doesn't contain @",""
"passed","Thu Oct 27 09:45:45 GMT 2022","Thu Oct 27 09:45:49 GMT 2022","4005","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Thu Oct 27 09:42:59 GMT 2022","Thu Oct 27 09:43:05 GMT 2022","5466","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 09:43:24 GMT 2022","Thu Oct 27 09:43:35 GMT 2022","11278","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Thu Oct 27 09:45:07 GMT 2022","Thu Oct 27 09:45:12 GMT 2022","4661","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 09:43:35 GMT 2022","Thu Oct 27 09:43:41 GMT 2022","5833","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Thu Oct 27 09:45:34 GMT 2022","Thu Oct 27 09:45:40 GMT 2022","6121","","Support center page testing","","Support center page testing","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page","ID - 18 Open the article How to Sign Up for a Telnyx account on the support center page",""
"passed","Thu Oct 27 09:43:17 GMT 2022","Thu Oct 27 09:43:24 GMT 2022","6687","","Network page testing","","Network page testing","ID - 7 Open the virtual cross connects page from Network link in Header menu","ID - 7 Open the virtual cross connects page from Network link in Header menu",""
"passed","Thu Oct 27 09:44:47 GMT 2022","Thu Oct 27 09:44:55 GMT 2022","7605","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"skipped","Thu Oct 27 09:45:12 GMT 2022","Thu Oct 27 09:45:12 GMT 2022","1","","Sign up page testing","","Sign up page testing","ID - 14 Sign up with valid credentials","ID - 14 Sign up with valid credentials",""
"passed","Thu Oct 27 09:43:43 GMT 2022","Thu Oct 27 09:44:07 GMT 2022","23921","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 09:45:13 GMT 2022","Thu Oct 27 09:45:21 GMT 2022","7580","","Solution page testing","","Solution page testing","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page","ID - 4 Open the Talk to an expert from Customer Engagement Platforms page",""
"passed","Thu Oct 27 09:44:07 GMT 2022","Thu Oct 27 09:44:27 GMT 2022","20049","","Sign in testing","","Sign in testing","ID - 16 Sign in with invalid email and invalid password","ID - 16 Sign in with invalid email and invalid password",""
"passed","Thu Oct 27 09:45:26 GMT 2022","Thu Oct 27 09:45:32 GMT 2022","5874","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"passed","Thu Oct 27 09:45:02 GMT 2022","Thu Oct 27 09:45:07 GMT 2022","5414","","Sign up page testing","","Sign up page testing","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy","ID - 12 Sign up without agreeing Terms and Conditions and Privacy Policy",""
"passed","Thu Oct 27 09:43:10 GMT 2022","Thu Oct 27 09:43:15 GMT 2022","5160","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 09:43:05 GMT 2022","Thu Oct 27 09:43:08 GMT 2022","3463","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 09:44:55 GMT 2022","Thu Oct 27 09:45:02 GMT 2022","6516","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
