"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 12:32:07 GMT 2022","Thu Oct 27 12:32:14 GMT 2022","7231","","Solution page testing","","Solution page testing","ID - 5 Open Explore Healthcare Solutions from Solutions page","ID - 5 Open Explore Healthcare Solutions from Solutions page",""
"passed","Thu Oct 27 12:29:33 GMT 2022","Thu Oct 27 12:29:39 GMT 2022","6275","","Header testing","","Header testing","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those","ID -2 Check that Product, Solution, Resources,Company,Pricing links in the header menu open dropdown menu when hover those",""
"passed","Thu Oct 27 12:34:20 GMT 2022","Thu Oct 27 12:34:25 GMT 2022","4815","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Thu Oct 27 12:36:54 GMT 2022","Thu Oct 27 12:37:04 GMT 2022","10310","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Thu Oct 27 12:33:33 GMT 2022","Thu Oct 27 12:33:45 GMT 2022","11922","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"skipped","Thu Oct 27 12:37:24 GMT 2022","Thu Oct 27 12:37:24 GMT 2022","0","","Sign up page testing","","Sign up page testing","ID - 14 Sign up with valid credentials","ID - 14 Sign up with valid credentials",""
"passed","Thu Oct 27 12:29:45 GMT 2022","Thu Oct 27 12:29:51 GMT 2022","6144","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Thu Oct 27 12:35:05 GMT 2022","Thu Oct 27 12:35:10 GMT 2022","5353","","Support center page testing","","Support center page testing","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search","ID - 19 Find the article How to Sign Up for a Telnyx account on the support center using search",""
"passed","Thu Oct 27 12:32:37 GMT 2022","Thu Oct 27 12:32:42 GMT 2022","5267","","Support center page testing","","Support center page testing","ID - 20 Find non-existent article on the support page using search","ID - 20 Find non-existent article on the support page using search",""
"passed","Thu Oct 27 12:33:21 GMT 2022","Thu Oct 27 12:33:31 GMT 2022","9779","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Thu Oct 27 12:31:28 GMT 2022","Thu Oct 27 12:31:36 GMT 2022","8377","","Sign up page testing","","Sign up page testing","ID - 10 Sign up with an email that does not contain @","ID - 10 Sign up with an email that does not contain @",""
"passed","Thu Oct 27 12:36:17 GMT 2022","Thu Oct 27 12:36:31 GMT 2022","13460","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Thu Oct 27 12:29:39 GMT 2022","Thu Oct 27 12:29:43 GMT 2022","3924","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Thu Oct 27 12:37:45 GMT 2022","Thu Oct 27 12:37:55 GMT 2022","10090","","Solution page testing","","Solution page testing","ID - 6 Open the Contact Center Solutions from Solutions page","ID - 6 Open the Contact Center Solutions from Solutions page",""
"passed","Thu Oct 27 12:33:00 GMT 2022","Thu Oct 27 12:33:05 GMT 2022","4938","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
