"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 28 16:02:27 GMT 2022","Fri Oct 28 16:02:53 GMT 2022","25786","","Network page testing","","Network page testing","ID - 9 Open SMS API from Network Page","ID - 9 Open SMS API from Network Page",""
"passed","Fri Oct 28 16:01:25 GMT 2022","Fri Oct 28 16:02:07 GMT 2022","42301","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Fri Oct 28 16:06:05 GMT 2022","Fri Oct 28 16:06:36 GMT 2022","30749","","Sign up page testing","","Sign up page testing","ID - 11 Sign up with a password that does not contain symbol","ID - 11 Sign up with a password that does not contain symbol",""
"passed","Fri Oct 28 16:00:31 GMT 2022","Fri Oct 28 16:01:00 GMT 2022","28530","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Fri Oct 28 16:05:08 GMT 2022","Fri Oct 28 16:05:55 GMT 2022","46610","","Sign in testing","","Sign in testing","ID - 15 Sign in with valid email and invalid password","ID - 15 Sign in with valid email and invalid password",""
"passed","Fri Oct 28 16:07:05 GMT 2022","Fri Oct 28 16:07:25 GMT 2022","19644","","Sign up page testing","","Sign up page testing","ID - 13 Sign up with empty fields","ID - 13 Sign up with empty fields",""
"passed","Fri Oct 28 16:02:22 GMT 2022","Fri Oct 28 16:04:20 GMT 2022","117964","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
"passed","Fri Oct 28 16:00:23 GMT 2022","Fri Oct 28 16:00:55 GMT 2022","32458","","Header testing","","Header testing","ID -3 Check that all item from Products dropdown menu on header to be able click","ID -3 Check that all item from Products dropdown menu on header to be able click",""
"passed","Fri Oct 28 16:01:01 GMT 2022","Fri Oct 28 16:01:33 GMT 2022","32400","","Main page testing","","Main page testing","ID 1 - Open Voice Api from main page","ID 1 - Open Voice Api from main page",""
"passed","Fri Oct 28 16:01:49 GMT 2022","Fri Oct 28 16:02:27 GMT 2022","38261","","Network page testing","","Network page testing","ID - 8 See price for Elastic SIP Trunking from Network Page","ID - 8 See price for Elastic SIP Trunking from Network Page",""
